Unnamed: 0,Unnamed: 0.1,rank dates,rebalance dates,code,in/out,enter_date,enter_price,exit_date,exit_price,beta
101,103,2016-05-30,2016-06-12,601727.SH,1,2016-05-31,7.58,2016-06-13,7.68,0.6707843349009484
102,104,2016-05-30,2016-06-12,600029.SH,1,2016-05-31,6.52,2016-06-13,7.0,1.771365693103043
103,105,2016-05-30,2016-06-12,601788.SH,1,2016-05-31,15.49,2016-06-13,16.35,1.9311349872290295
104,106,2016-05-30,2016-06-12,601919.SH,1,2016-05-31,5.17,2016-06-13,5.27,0.9928189868802939
105,107,2016-05-30,2016-06-12,601377.SH,1,2016-05-31,7.59,2016-06-13,7.77,1.6764729943453442
106,109,2015-11-30,2015-12-13,600583.SH,0,2015-12-01,9.1,2015-12-14,8.67,1.393517222317812
107,110,2015-11-30,2015-12-13,600089.SH,0,2015-12-01,11.7,2015-12-14,11.16,1.2860672770920558
108,111,2015-11-30,2015-12-13,600406.SH,0,2015-12-01,15.44,2015-12-14,14.4,1.4173610207460834
109,112,2015-11-30,2015-12-13,600256.SH,0,2015-12-01,6.81,2015-12-14,6.47,1.3840544530616277
110,113,2015-11-30,2015-12-13,601211.SH,1,2015-12-01,22.04,2015-12-14,24.02,1.4060467290333194
111,114,2015-11-30,2015-12-13,601336.SH,1,2015-12-01,43.5,2015-12-14,46.78,1.746154031547925
112,115,2015-11-30,2015-12-13,601985.SH,1,2015-12-01,9.55,2015-12-14,9.37,1.1997189071409706
113,116,2015-11-30,2015-12-13,601669.SH,1,2015-12-01,8.02,2015-12-14,7.8,1.5600804707716416
114,117,2015-11-30,2015-12-13,600795.SH,1,2015-12-01,4.05,2015-12-14,3.91,1.0406098258320995
115,118,2015-06-01,2015-06-14,600372.SH,0,2015-06-02,45.9,2015-06-15,47.13,1.6252076520305774
116,119,2015-06-01,2015-06-14,600196.SH,0,2015-06-02,35.0,2015-06-15,35.25,1.1635437894459635
117,121,2015-06-01,2015-06-14,600332.SH,0,2015-06-02,44.13,2015-06-15,46.2,1.2944851341866528
118,122,2015-06-01,2015-06-14,601118.SH,0,2015-06-02,12.51,2015-06-15,13.65,1.1872444245692002
119,123,2015-06-01,2015-06-14,601988.SH,1,2015-06-02,4.49,2015-06-15,5.08,0.6255301652473929
120,124,2015-06-01,2015-06-14,601390.SH,1,2015-06-02,18.76,2015-06-15,18.97,1.112309526442846
121,125,2015-06-01,2015-06-14,601800.SH,1,2015-06-02,18.5,2015-06-15,18.8,0.9676297746413317
122,126,2015-06-01,2015-06-14,601186.SH,1,2015-06-02,21.85,2015-06-15,21.99,1.1175936086088127
123,127,2015-06-01,2015-06-14,600958.SH,1,2015-06-02,38.95,2015-06-15,40.1,1.2816764972816859
124,130,2015-05-14,2015-05-20,600893.SH,1,2015-05-15,57.49,2015-05-21,66.16,1.585282216481725
125,131,2015-05-14,2015-05-20,600583.SH,1,2015-05-15,13.35,2015-05-21,13.58,1.3072957033451336
126,132,2014-12-01,2014-12-14,601336.SH,0,2014-12-02,40.1,2014-12-15,37.73,1.1151351117224404
127,133,2014-12-01,2014-12-14,600031.SH,0,2014-12-02,6.66,2014-12-15,8.28,0.8993028121404772
128,134,2014-12-01,2014-12-14,601117.SH,0,2014-12-02,6.95,2014-12-15,8.08,0.7336157427816863
129,135,2014-12-01,2014-12-14,600383.SH,0,2014-12-02,8.86,2014-12-15,9.0,0.9127403872151633
130,136,2014-12-01,2014-12-14,600547.SH,0,2014-12-02,19.76,2014-12-15,20.3,0.378685340279316
131,137,2014-12-01,2014-12-14,601998.SH,1,2014-12-02,6.19,2014-12-15,6.21,1.1134155649450674
132,138,2014-12-01,2014-12-14,600690.SH,1,2014-12-02,17.46,2014-12-15,19.18,0.40306513348597506
133,139,2014-12-01,2014-12-14,600150.SH,1,2014-12-02,36.0,2014-12-15,37.0,0.5568438216426502
134,140,2014-12-01,2014-12-14,600372.SH,1,2014-12-02,25.3,2014-12-15,28.79,0.4054276694239134
135,141,2014-12-01,2014-12-14,600109.SH,1,2014-12-02,16.65,2014-12-15,19.12,1.2546625332791603
136,142,2014-06-03,2014-06-15,601899.SH,0,2014-06-04,2.19,2014-06-16,2.17,0.5865551441438784
137,143,2014-06-03,2014-06-15,600362.SH,0,2014-06-04,12.05,2014-06-16,12.07,1.0071549153180737
138,144,2014-06-03,2014-06-15,600489.SH,0,2014-06-04,7.65,2014-06-16,7.6,0.5597646956418271
139,145,2014-06-03,2014-06-15,601699.SH,0,2014-06-04,7.76,2014-06-16,7.72,1.196367730029274
140,146,2014-06-03,2014-06-15,600549.SH,0,2014-06-04,24.8,2014-06-16,25.38,1.3128379261634544
141,147,2014-06-03,2014-06-15,600196.SH,1,2014-06-04,19.95,2014-06-16,20.5,0.791891172545251
142,148,2014-06-03,2014-06-15,600703.SH,1,2014-06-04,22.42,2014-06-16,23.76,0.1480286450360601
143,150,2014-06-03,2014-06-15,600089.SH,1,2014-06-04,8.65,2014-06-16,8.84,0.7738861851953263
144,151,2014-06-03,2014-06-15,601118.SH,1,2014-06-04,5.73,2014-06-16,5.75,0.4651713356460423
145,152,2013-12-02,2013-12-15,600019.SH,0,2013-12-03,4.2,2013-12-16,4.22,0.7643430951031216
146,153,2013-12-02,2013-12-15,601669.SH,0,2013-12-03,3.28,2013-12-16,3.29,0.9923113027037898
147,154,2013-12-02,2013-12-15,601788.SH,0,2013-12-03,9.33,2013-12-16,8.82,0.9599026932829847
148,155,2013-12-02,2013-12-15,600348.SH,0,2013-12-03,8.35,2013-12-16,8.08,1.556603137524518
149,156,2013-12-02,2013-12-15,600123.SH,0,2013-12-03,12.3,2013-12-16,12.02,1.1011084623785714
150,157,2013-12-02,2013-12-15,600018.SH,1,2013-12-03,4.54,2013-12-16,5.44,0.8630425350969648
151,158,2013-12-02,2013-12-15,600637.SH,1,2013-12-03,37.94,2013-12-16,41.4,0.7853307734847254
152,159,2013-12-02,2013-12-15,601117.SH,1,2013-12-03,8.04,2013-12-16,8.52,1.1405722752951686
153,160,2013-12-02,2013-12-15,600332.SH,1,2013-12-03,27.41,2013-12-16,32.0,0.8602707403266802
154,161,2013-12-02,2013-12-15,600406.SH,1,2013-12-03,14.1,2013-12-16,14.94,0.8331498284959821
155,162,2013-06-17,2013-06-30,601800.SH,0,2013-06-18,4.56,2013-07-01,4.05,0.7543709699166716
156,163,2013-06-17,2013-06-30,601898.SH,0,2013-06-18,6.08,2013-07-01,4.87,0.7802218114475589
157,164,2013-06-17,2013-06-30,600188.SH,0,2013-06-18,12.54,2013-07-01,9.31,1.3623644502594325
158,165,2013-06-17,2013-06-30,600058.SH,0,2013-06-18,13.68,2013-07-01,10.93,0.9305890390166596
159,166,2013-06-17,2013-06-30,600999.SH,1,2013-06-18,11.31,2013-07-01,10.28,1.2339025114345097
160,167,2013-06-17,2013-06-30,600518.SH,1,2013-06-18,19.2,2013-07-01,19.24,0.30651606634044537
161,168,2013-06-17,2013-06-30,601788.SH,1,2013-06-18,12.6,2013-07-01,10.13,1.3061098454749984
162,169,2013-06-17,2013-06-30,600383.SH,1,2013-06-18,6.61,2013-07-01,6.75,1.2181953638856369
163,170,2012-12-17,2013-01-03,600900.SH,0,2012-12-18,6.76,2013-01-04,6.9,0.36650560579355423
164,171,2012-12-17,2013-01-03,601600.SH,0,2012-12-18,5.04,2013-01-04,5.21,0.5386266673110909
165,172,2012-12-17,2013-01-03,601958.SH,0,2012-12-18,11.22,2013-01-04,11.82,0.9051255215085178
166,173,2012-12-17,2013-01-03,601118.SH,0,2012-12-18,5.55,2013-01-04,5.75,1.104924251105688
167,174,2012-12-17,2013-01-03,600068.SH,0,2012-12-18,5.33,2013-01-04,5.55,0.6622092174147768
168,175,2012-12-17,2013-01-03,601336.SH,1,2012-12-18,24.8,2013-01-04,29.01,1.5349829310948484
169,176,2012-12-17,2013-01-03,601800.SH,1,2012-12-18,5.15,2013-01-04,5.3,0.6363089422692496
170,177,2012-12-17,2013-01-03,601688.SH,1,2012-12-18,8.87,2013-01-04,9.88,1.3695080574058571
171,178,2012-12-17,2013-01-03,600549.SH,1,2012-12-18,35.84,2013-01-04,39.68,1.0184154823062073
172,179,2012-12-17,2013-01-03,600123.SH,1,2012-12-18,19.19,2013-01-04,20.51,1.0436089002321496
173,180,2012-06-11,2012-07-01,601111.SH,0,2012-06-12,6.18,2012-07-02,6.12,1.0233177960475324
174,181,2012-06-11,2012-07-01,600383.SH,0,2012-06-12,7.02,2012-07-02,6.51,0.9124717699476861
175,182,2012-06-11,2012-07-01,601168.SH,0,2012-06-12,9.56,2012-07-02,8.65,1.3935688449309866
176,183,2012-06-11,2012-07-01,600089.SH,0,2012-06-12,7.43,2012-07-02,6.85,1.5118870358478573
177,184,2012-06-11,2012-07-01,600256.SH,1,2012-06-12,15.4,2012-07-02,13.67,1.1119933372770017
178,185,2012-06-11,2012-07-01,601669.SH,1,2012-06-12,4.49,2012-07-02,4.39,1.0609225524196761
179,186,2012-06-11,2012-07-01,600887.SH,1,2012-06-12,22.76,2012-07-02,20.67,0.5189085204460003
180,187,2012-06-11,2012-07-01,601901.SH,1,2012-06-12,5.26,2012-07-02,5.07,1.5936621548448853
181,188,2011-12-12,2012-01-03,601939.SH,0,2011-12-13,4.72,2012-01-04,4.56,0.4219148213745119
182,189,2011-12-12,2012-01-03,601390.SH,0,2011-12-13,2.84,2012-01-04,2.53,1.0320368650427372
183,190,2011-12-12,2012-01-03,601919.SH,0,2011-12-13,5.72,2012-01-04,4.7,1.6345947580211047
184,191,2011-12-12,2012-01-03,601688.SH,0,2011-12-13,8.83,2012-01-04,7.9,1.4011359604597542
185,192,2011-12-12,2012-01-03,601299.SH,1,2011-12-13,4.87,2012-01-04,4.27,0.9536296715545347
186,193,2011-12-12,2012-01-03,600068.SH,1,2011-12-13,8.2,2012-01-04,7.75,1.2625413496538251
187,194,2011-12-12,2012-01-03,600010.SH,1,2011-12-13,4.23,2012-01-04,4.15,1.2703344650236517
188,195,2011-12-12,2012-01-03,600058.SH,1,2011-12-13,20.88,2012-01-04,22.05,1.514978932918106
