,dates,year,code,in/out,enter_date,close_date,beta
4631,2015-05-01,2015,CRDF,1,2015-05-04,2015-06-29,1.612915976111033
4632,2015-05-01,2015,CPRX,1,2015-05-04,2015-06-29,1.582600333697271
4633,2015-05-01,2015,CORI,1,2015-05-04,2015-06-29,-0.3068475250748692
4634,2015-05-01,2015,CNXR,1,2015-05-04,2015-06-29,1.3313810597058826
4635,2015-05-01,2015,CNCE,1,2015-05-04,2015-06-29,1.5043700492678125
4636,2015-05-01,2015,CMT,1,2015-05-04,2015-06-29,0.2357877704670255
4637,2015-05-01,2015,CHRS,1,2015-05-04,2015-06-29,2.1420624008267497
4638,2015-05-01,2015,CFG,1,2015-05-04,2015-06-29,0.6263659457399603
4639,2015-05-01,2015,CDTX,1,2015-05-04,2015-06-29,2.09893007622353
4640,2015-05-01,2015,CALA,1,2015-05-04,2015-06-29,2.032214323126154
4641,2015-05-01,2015,BSIG,1,2015-05-04,2015-06-29,0.5769627734809404
4642,2015-05-01,2015,BSF,1,2015-05-04,2015-06-29,-0.0963867533945169
4643,2015-05-01,2015,BSET,1,2015-05-04,2015-06-29,0.503259247895586
4644,2015-05-01,2015,BRG,1,2015-05-04,2015-06-29,0.4685872355689928
4645,2015-05-01,2015,BPMC,1,2015-05-04,2015-06-29,13.446637909573292
4646,2015-05-01,2015,BOX,1,2015-05-04,2015-06-29,0.4741210729377531
4647,2015-05-01,2015,BOOT,1,2015-05-04,2015-06-29,0.7477805192846928
4648,2015-05-01,2015,BLCM,1,2015-05-04,2015-06-29,1.2965886579064356
4649,2015-05-01,2015,BLBD,1,2015-05-04,2015-06-29,0.3198147613009407
4650,2015-05-01,2015,BHB,1,2015-05-04,2015-06-29,0.7201977695303294
4651,2015-05-01,2015,AXTA,1,2015-05-04,2015-06-29,0.4492986686165993
4652,2015-05-01,2015,AVID,1,2015-05-04,2015-06-29,0.958612821687761
4653,2015-05-01,2015,ATRA,1,2015-05-04,2015-06-29,1.2877844292222218
4654,2015-05-01,2015,ATEX,1,2015-05-04,2015-06-29,1.9915199977692828
4655,2015-05-01,2015,ASMB,1,2015-05-04,2015-06-29,0.9627194498799908
4656,2015-05-01,2015,APTV,1,2015-05-04,2015-06-29,1.1614351974040975
4657,2015-05-01,2015,APTS,1,2015-05-04,2015-06-29,0.3231913092407664
4658,2015-05-01,2015,APPS,1,2015-05-04,2015-06-29,0.0924171611881491
4659,2015-05-01,2015,ANTH,1,2015-05-04,2015-06-29,1.0469444017942882
4660,2015-05-01,2015,ANCX,1,2015-05-04,2015-06-29,-0.0705175544059533
4661,2015-05-01,2015,AMOT,1,2015-05-04,2015-06-29,2.303325427035915
4662,2015-05-01,2015,AJX,1,2015-05-04,2015-06-29,-0.119305313312562
4663,2015-05-01,2015,AINC,1,2015-05-04,2015-06-29,0.7856597741812187
4664,2015-05-01,2015,AGRX,1,2015-05-04,2015-06-29,0.605647006934549
4665,2015-05-01,2015,AFMD,1,2015-05-04,2015-06-29,3.626091584247965
4666,2015-05-01,2015,ADXS,1,2015-05-04,2015-06-29,2.070338206213086
4667,2015-05-01,2015,ABEO,1,2015-05-04,2015-06-29,1.1860477196389274
4668,2015-05-01,2015,ABCD,1,2015-05-04,2015-06-29,-0.1207402835406289
4669,2016-05-06,2016,ZYNE,0,2016-05-09,2016-06-27,1.0185694751686325
4670,2016-05-06,2016,ZAIS,0,2016-05-09,2016-06-27,1.8494712888400144
4671,2016-05-06,2016,XRM,0,2016-05-09,2016-06-27,1.4114023324419065
4672,2016-05-06,2016,XOMA,0,2016-05-09,2016-06-27,2.0624631643125304
4673,2016-05-06,2016,WIX,0,2016-05-09,2016-06-27,1.8967098303147796
4674,2016-05-06,2016,VSTM,0,2016-05-09,2016-06-27,1.8008583536885905
4675,2016-05-06,2016,VOXX,0,2016-05-09,2016-06-27,1.3915079710711398
4676,2016-05-06,2016,VOLT,0,2016-05-09,2016-06-27,0.3526089712848237
4677,2016-05-06,2016,UUUU,0,2016-05-09,2016-06-27,1.4650345352411345
4678,2016-05-06,2016,UTI,0,2016-05-09,2016-06-27,1.1951171003380074
4679,2016-05-06,2016,ULTRF,0,2016-05-09,2016-06-27,2.000687872958054
4680,2016-05-06,2016,UEC,0,2016-05-09,2016-06-27,1.40191883826353
4681,2016-05-06,2016,TZOO,0,2016-05-09,2016-06-27,1.4132398595600175
4682,2016-05-06,2016,TWIN,0,2016-05-09,2016-06-27,1.6401330909851717
4683,2016-05-06,2016,TARA,0,2016-05-09,2016-06-27,1.3195211951968022
4684,2016-05-06,2016,SVC,0,2016-05-09,2016-06-27,1.0831648422960556
4685,2016-05-06,2016,STE,0,2016-05-09,2016-06-27,1.08115886808202
4686,2016-05-06,2016,STCN,0,2016-05-09,2016-06-27,0.5354304264935771
4687,2016-05-06,2016,SPNE,0,2016-05-09,2016-06-27,1.292828594578101
4688,2016-05-06,2016,SNMX,0,2016-05-09,2016-06-27,1.6931197154989015
4689,2016-05-06,2016,SNI,0,2016-05-09,2016-06-27,0.6094921522747447
4690,2016-05-06,2016,SIXD,0,2016-05-09,2016-06-27,0.9060962186417264
4691,2016-05-06,2016,SIR,0,2016-05-09,2016-06-27,-0.3889880637441831
4692,2016-05-06,2016,SIEN,0,2016-05-09,2016-06-27,0.1242270554735023
4693,2016-05-06,2016,SEAC,0,2016-05-09,2016-06-27,0.7399294876050404
4694,2016-05-06,2016,SB,0,2016-05-09,2016-06-27,2.01812654462174
4695,2016-05-06,2016,RTKHQ,0,2016-05-09,2016-06-27,1.831281860266916
4696,2016-05-06,2016,RRD,0,2016-05-09,2016-06-27,0.9787946789445534
4697,2016-05-06,2016,RKDA,0,2016-05-09,2016-06-27,1.650933676411297
4698,2016-05-06,2016,RJETQ,0,2016-05-09,2016-06-27,1.382367590871193
4699,2016-05-06,2016,REXXQ,0,2016-05-09,2016-06-27,2.969981379256197
4700,2016-05-06,2016,QMCO,0,2016-05-09,2016-06-27,0.5657988705382752
4701,2016-05-06,2016,PCOA,0,2016-05-09,2016-06-27,1.3453492997324623
4702,2016-05-06,2016,OPK,0,2016-05-09,2016-06-27,1.445072465411092
4703,2016-05-06,2016,OPI,0,2016-05-09,2016-06-27,0.997821844436772
4704,2016-05-06,2016,ONVO,0,2016-05-09,2016-06-27,2.7984494851752224
4705,2016-05-06,2016,NWPX,0,2016-05-09,2016-06-27,1.8756897772621737
4706,2016-05-06,2016,NWBO,0,2016-05-09,2016-06-27,1.989356861345256
4707,2016-05-06,2016,NM,0,2016-05-09,2016-06-27,1.7054408581001597
4708,2016-05-06,2016,NAVB,0,2016-05-09,2016-06-27,1.236999411403402
4709,2016-05-06,2016,NADLQ,0,2016-05-09,2016-06-27,1.2234734249937362
4710,2016-05-06,2016,MTEM,0,2016-05-09,2016-06-27,1.3069913311004877
4711,2016-05-06,2016,MRIN,0,2016-05-09,2016-06-27,1.3653950086926476
4712,2016-05-06,2016,MDGL,0,2016-05-09,2016-06-27,1.944828193336252
4713,2016-05-06,2016,LNTH,0,2016-05-09,2016-06-27,1.4954091409619443
4714,2016-05-06,2016,LIVN,0,2016-05-09,2016-06-27,0.9646279845428876
4715,2016-05-06,2016,LIFE,0,2016-05-09,2016-06-27,2.1485364544813463
4716,2016-05-06,2016,KCLI,0,2016-05-09,2016-06-27,0.2865617465346414
4717,2016-05-06,2016,KALV,0,2016-05-09,2016-06-27,0.4195589732333186
